energy,norma,l2,s2,q,r,m,s,l,energyBased_J
0.005383606709,"Norma:(1,0)",42.3979378,3.665053363,"Q(Racah):(4.000000265,0)","R(Racah):(75.8871204,0)","M:(3.399946963,0)",1.5,6,7.0
74.33619865,"Norma:(1,0)",42.40264841,3.664141218,"Q(Racah):(4.000001819,0)","R(Racah):(75.88554675,0)","M:(-3.857395406,0)",1.5,6,7.0
74.33951008,"Norma:(1,0)",42.40264851,3.664141196,"Q(Racah):(4.000001819,0)","R(Racah):(75.88560098,0)","M:(-0.6827273058,0)",1.5,6,7.0
74.33979356,"Norma:(1,0)",42.40264845,3.664141204,"Q(Racah):(4.000001819,0)","R(Racah):(75.88560564,0)","M:(0.683278546,0)",1.5,6,7.0
74.34151759,"Norma:(1,0)",42.40264843,3.664141207,"Q(Racah):(4.000001819,0)","R(Racah):(75.88563387,0)","M:(3.851846597,0)",1.5,6,7.0
83.14741056,"Norma:(1,0)",42.4062538,3.66352562,"Q(Racah):(4.000005961,0)","R(Racah):(75.88439395,0)","M:(-2.985336779,0)",1.5,6,7.0
83.1515392,"Norma:(1,0)",42.40625388,3.663525603,"Q(Racah):(4.000005961,0)","R(Racah):(75.88446152,0)","M:(2.990838365,0)",1.5,6,7.0
418.5350815,"Norma:(1,0)",42.40076672,3.663656541,"Q(Racah):(4.000000166,0)","R(Racah):(75.88593614,0)","M:(-5.068725015,0)",1.5,6,7.0
418.5384485,"Norma:(1,0)",42.40076655,3.663656567,"Q(Racah):(4.000000166,0)","R(Racah):(75.88599132,0)","M:(-2.280859099,0)",1.5,6,7.0
418.5408778,"Norma:(1,0)",42.40076687,3.663656526,"Q(Racah):(4.000000166,0)","R(Racah):(75.88603103,0)","M:(5.068730563,0)",1.5,6,7.0
418.5415732,"Norma:(1,0)",42.40076675,3.663656544,"Q(Racah):(4.000000166,0)","R(Racah):(75.88604245,0)","M:(2.279979842,0)",1.5,6,7.0
477.9959068,"Norma:(1,0)",42.40824366,3.662639612,"Q(Racah):(4.000002953,0)","R(Racah):(75.88396367,0)","M:(-5.40445008,0)",1.5,6,7.0
477.9996446,"Norma:(1,0)",42.40824352,3.662639632,"Q(Racah):(4.000002954,0)","R(Racah):(75.88402492,0)","M:(-1.96255887,0)",1.5,6,7.0
478.0019491,"Norma:(1,0)",42.40824369,3.662639595,"Q(Racah):(4.000002954,0)","R(Racah):(75.88406261,0)","M:(5.404489139,0)",1.5,6,7.0
478.002353,"Norma:(1,0)",42.40824355,3.662639623,"Q(Racah):(4.000002953,0)","R(Racah):(75.88406927,0)","M:(1.963544105,0)",1.5,6,7.0
22012.40475,"Norma:(1,0)",21.5319428,3.360458746,"Q(Racah):(4.000019636,0)","R(Racah):(80.69107104,0)","M:(-0.04035599033,0)",1.5,4,4.5
22012.40727,"Norma:(0.9999999999,0)",21.53193646,3.360458604,"Q(Racah):(4.000019636,0)","R(Racah):(80.69111392,0)","M:(0.04025037248,0)",1.5,4,4.5
22012.40733,"Norma:(0.9999999999,0)",21.53195321,3.360459145,"Q(Racah):(4.000019636,0)","R(Racah):(80.69111122,0)","M:(-3.333526572,0)",1.5,4,4.5
22012.40947,"Norma:(1,0)",21.53192658,3.360458215,"Q(Racah):(4.000019636,0)","R(Racah):(80.69115178,0)","M:(3.33310153,0)",1.5,4,4.5
22046.45351,"Norma:(1,0)",21.22710776,3.352100769,"Q(Racah):(4.000011972,0)","R(Racah):(80.77970674,0)","M:(-2.092218486,0)",1.5,4,4.5
22046.45431,"Norma:(1,0)",21.22709524,3.352100241,"Q(Racah):(4.000011972,0)","R(Racah):(80.77972223,0)","M:(2.092650765,0)",1.5,4,4.5
22156.04609,"Norma:(1,0)",21.54075751,3.351652917,"Q(Racah):(4.000024268,0)","R(Racah):(80.66518603,0)","M:(-1.091193436,0)",1.5,4,4.5
22156.0486,"Norma:(1,0)",21.54074385,3.351652668,"Q(Racah):(4.000024269,0)","R(Racah):(80.66523024,0)","M:(3.723773626,0)",1.5,4,4.5
22156.04959,"Norma:(1,0)",21.54075865,3.3516531,"Q(Racah):(4.000024269,0)","R(Racah):(80.6652431,0)","M:(-3.723776337,0)",1.5,4,4.5
22156.05005,"Norma:(1,0)",21.54074264,3.351652493,"Q(Racah):(4.000024269,0)","R(Racah):(80.66525389,0)","M:(1.091300764,0)",1.5,4,4.5
26729.87001,"Norma:(0.9999999999,0)",1.83349061,2.988944453,"Q(Racah):(4.000025546,0)","R(Racah):(87.05497579,0)","M:(-0.8514864399,0)",1.5,1,1.5
26729.87121,"Norma:(1,0)",1.833498561,2.988944336,"Q(Racah):(4.000025545,0)","R(Racah):(87.05499143,0)","M:(-2.594223598,0)",1.5,1,1.5
26729.87477,"Norma:(0.9999999999,0)",1.833491299,2.988944459,"Q(Racah):(4.000025545,0)","R(Racah):(87.05505322,0)","M:(0.8514859624,0)",1.5,1,1.5
26729.87619,"Norma:(1,0)",1.833497319,2.988943798,"Q(Racah):(4.000025546,0)","R(Racah):(87.05507197,0)","M:(2.594222646,0)",1.5,1,1.5
26729.87001,"Norma:(0.9999999999,0)",1.83349061,2.988944453,"Q(Racah):(4.000025546,0)","R(Racah):(87.05497579,0)","M:(-0.8514864399,0)",1.5,1,4.5
26729.87121,"Norma:(1,0)",1.833498561,2.988944336,"Q(Racah):(4.000025545,0)","R(Racah):(87.05499143,0)","M:(-2.594223598,0)",1.5,1,4.5
26729.87477,"Norma:(0.9999999999,0)",1.833491299,2.988944459,"Q(Racah):(4.000025545,0)","R(Racah):(87.05505322,0)","M:(0.8514859624,0)",1.5,1,4.5
26729.87619,"Norma:(1,0)",1.833497319,2.988943798,"Q(Racah):(4.000025546,0)","R(Racah):(87.05507197,0)","M:(2.594222646,0)",1.5,1,4.5
27904.09213,"Norma:(1,0)",27.93059216,2.315657639,"Q(Racah):(4.000009812,0)","R(Racah):(74.31379792,0)","M:(-3.931547618,0)",0.5,5,4.5
27904.09367,"Norma:(1,0)",27.93059594,2.315657387,"Q(Racah):(4.000009813,0)","R(Racah):(74.31382127,0)","M:(-0.697813762,0)",0.5,5,4.5
27904.0939,"Norma:(1,0)",27.93058848,2.31565704,"Q(Racah):(4.000009811,0)","R(Racah):(74.31382789,0)","M:(0.6977171761,0)",0.5,5,4.5
27904.09685,"Norma:(1,0)",27.93059441,2.315656614,"Q(Racah):(4.000009812,0)","R(Racah):(74.31387355,0)","M:(3.924707598,0)",0.5,5,4.5
27906.55515,"Norma:(1,0)",28.0194552,2.323898264,"Q(Racah):(4.000073588,0)","R(Racah):(74.3086107,0)","M:(-2.084965555,0)",0.5,5,4.5
27906.55624,"Norma:(1,0)",28.01945551,2.323897953,"Q(Racah):(4.000073586,0)","R(Racah):(74.30862856,0)","M:(2.091767244,0)",0.5,5,4.5
